4,"Scotch-Brite Multi-purpose Microfiber Flat Mop with 1 extra refill for Dry & Wet Cleaning, 360 degree Rotating head and Telescopic handle, suitable for Floor, Glass, Ceiling and Walls (Green)",B00NQ03WR4,"1,399","1,848",  #256 in Home Improvement (See Top 100 in Home Improvement)  #4 in Household Wet & Dry Mops   
5,Scotch-Brite Jumper Spin Mop with Round Refill Heads,B00T425GKY,"1,899","3,850","  #3,527 in Home Improvement (See Top 100 in Home Improvement)  #107 in Household Bucket Mops   "
6,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),B00NBM3IE4,375,450,  #15 in Home Improvement (See Top 100 in Home Improvement)  #1 in Squeegees   
7,"Scotch-Brite Plastic No Dust Broom Hard_Floor Refill Head without Handle (This Product Does Not Contain A Handle, Only Refill Suitable to Be Used with Broom), Ash",B0C82497NH,215,250,  #271 in Home Improvement (See Top 100 in Home Improvement)  #10 in Brooms (Home Improvement)   
8,Scotch-Brite Bathroom Squeegee Plastic Wiper with telescopic handle (30 cm),B07WVZY442,440,550,  #827 in Home Improvement (See Top 100 in Home Improvement)  #19 in Squeegees   
9,Scotch-Brite Bathroom Squeegee Wiper- Pack of 2,B07MLQQCZQ,730,900,  #464 in Home Improvement (See Top 100 in Home Improvement)  #10 in Squeegees   
10,Scotch-Brite Butterfly Plastic Mop and Refill Combo (Green),B00NBM2YNA,"1,629","2,000","  #1,054 in Home Improvement (See Top 100 in Home Improvement)  #17 in Household Wet & Dry Mops   "
11,Scotch-Brite Plastic Floor Squeegee Wiper -with telescopic handle (Green/Silver),B00NBM3EH0,440,525,  #162 in Home Improvement (See Top 100 in Home Improvement)  #5 in Squeegees   
12,Scotch-Brite Jumper Spin Mop compact one Bucket Mop,B00T425C9E,"2,199","4,200","  #1,342 in Home Improvement (See Top 100 in Home Improvement)  #55 in Household Bucket Mops   "
13,Scotch-Brite Plastic Scotch Brite Telescopic Handle Cotton Mop with Looped Cotton Threads,B07WTWDHPN,525,600,"  #2,549 in Home Improvement (See Top 100 in Home Improvement)  #42 in Household Wet & Dry Mops   "
14,"Scotch-Brite Plastic Handle Cotton Mop Refill, 1 Piece",B00NBM2ONU,270,300,  #604 in Home Improvement (See Top 100 in Home Improvement)  #19 in Household Mop Accessories   
